district_id,illiterate,only_literate,below_primary,primary,middle,secondary,intermediate,non_tech_diploma,tech_diploma,graduate,unknown
163,625941,38738,170025,260458,295494,189002,126850,410,651,86060,2555
164,1338246,95690,375109,584863,628626,547503,410588,2267,7418,554949,36009
165,614778,32946,149212,253294,265161,155530,116002,314,1028,98964,2745
166,694090,51221,175248,312260,323090,175171,115235,550,5261,141097,5380
167,580401,21087,139459,200362,162634,52281,29179,70,540,33638,1941
168,450986,23510,109934,170872,170581,75716,51799,126,432,48919,1410
169,387852,25643,94922,137978,120485,47838,29286,100,526,29735,1593
170,796473,27483,213476,283851,232308,99450,69448,1440,772,71887,2822
171,460658,17042,118301,150900,112747,54919,41415,62,305,33668,1713
172,1120567,52192,290132,396509,338086,193569,132243,1240,1064,103026,4105
173,1277582,80038,340672,463443,398729,287655,208724,1400,1614,141363,7921
174,786172,45641,193794,204557,145405,99720,77232,645,404,40842,5184
175,2288664,244255,587490,726228,629677,529000,470155,3061,7083,448874,19904
176,1568241,101763,366030,464213,359134,167266,121678,3567,1074,92647,15086
177,1020095,68256,259516,347479,295731,191054,143843,1029,1797,133854,8342
178,910949,51769,265172,361354,304262,203245,152415,1148,1607,140553,5414
179,1557215,75772,410633,588023,509717,287497,194685,1312,2931,161280,8052
180,2089363,82352,367032,433422,233149,116008,82751,3725,621,67655,11653
181,694048,29937,115264,134637,71565,31167,21558,1632,88,14623,2842
182,1280308,40509,269713,263813,141014,64555,43606,2535,405,36763,5444
183,1753925,74053,397865,476807,310298,182449,130083,2404,1359,95344,9332
184,1330371,57297,342187,389539,204639,102150,71963,2783,782,50162,7424
185,1070681,61033,290540,353623,280106,168431,129825,1850,1737,100622,6016
186,760234,28604,213542,275186,187133,112910,79090,1841,972,51431,4240
187,1265559,78747,342998,397196,269941,147784,103338,2699,1032,67354,8055
188,1740567,142557,468350,582981,529738,394612,299319,4034,6163,258102,14472
189,1609724,140099,440118,484287,370550,245395,156258,1720,2045,101962,12386
190,1225707,65158,354240,391521,368737,309232,229728,1014,2992,145424,7193
191,1841996,115159,539531,686457,524683,390812,290233,2792,3698,209051,9501
192,842924,83234,252718,303548,221789,203273,167322,5430,2376,118064,5290
193,1276184,136366,317928,378203,335393,331077,279050,942,3802,170375,10454
194,1762527,90396,499212,647669,531819,403397,306391,1974,4514,233725,12580
195,1422719,114897,367555,447029,389312,367798,302367,1034,4025,184557,18975
196,778150,42221,203971,260139,230573,186908,143870,616,3589,98656,4063
197,1272938,99135,390892,502154,411626,358137,300148,2781,8464,318163,12403
198,668067,36109,175938,222742,179901,132344,94608,231,1127,65050,2096
199,1068287,57087,274793,359626,276499,184429,151347,604,4181,115553,4564
200,876851,39703,211318,273580,182798,113567,81005,1172,5691,73104,3770
201,719278,33220,192965,245378,228191,167476,107231,241,1150,76486,2864
202,711869,28927,154002,196051,152914,92405,56533,126,683,41592,1617
585,154948,55020,93011,101048,94618,101939,105316,933,20939,86312,3924
586,138110,44803,68292,80447,71905,83439,74185,1023,14655,60516,3162
289,364385,65166,306557,330853,302218,107635,153489,297,4061,86824,4254
290,229191,29013,185184,169202,135325,39029,59695,58,980,25104,3220
291,102013,30803,80594,66177,53150,17888,19475,25,275,7107,723
292,173545,35733,153126,132424,101703,36277,40636,34,661,18777,1031
588,269883,25829,202154,237196,176549,141239,168409,1718,17887,61375,5136
589,384569,65249,317200,454204,362266,258462,447597,3676,48318,178441,3021
590,171835,26980,125401,139145,120907,87999,91198,874,13871,38094,1116
591,470850,110415,416861,506955,500255,308138,493123,5865,60026,209011,4794
592,801605,124644,688587,670246,673893,477253,459314,7961,50557,152366,6494
593,570442,85935,385530,445415,473578,352391,293945,4103,46431,148467,3697
