district_id,total_none,total_0,total_5,total_10,total_15,total_20,total_25,total_30,total_35,total_40,total_45,total_50,total_55,total_60,total_65,total_70,total_75,total_80,total_85,total_90,total_95,total_100,male_none,male_0,male_5,male_10,male_15,male_20,male_25,male_30,male_35,male_40,male_45,male_50,male_55,male_60,male_65,male_70,male_75,male_80,male_85,male_90,male_95,male_100,female_none,female_0,female_5,female_10,female_15,female_20,female_25,female_30,female_35,female_40,female_45,female_50,female_55,female_60,female_65,female_70,female_75,female_80,female_85,female_90,female_95,female_100
95,689,43670,46667,50735,55244,62330,59004,50745,45599,39067,34122,27735,20849,18411,10473,7629,4319,2815,1166,645,255,151,363,22791,24496,26999,30148,33308,31008,27061,24157,20886,18170,14945,11141,9371,5173,3550,2034,1219,532,268,124,77,326,20879,22171,23736,25096,29022,27996,23684,21442,18181,15952,12790,9708,9040,5300,4079,2285,1596,634,377,131,74
96,2610,197959,219677,235420,238589,257209,250311,218338,202223,168417,143537,112391,86508,82435,50769,35989,20006,12087,4925,2373,975,495,1423,105040,118964,128650,133446,139715,131549,114672,106792,90195,76689,59900,44411,40676,25731,17992,10201,5916,2471,1126,460,221,1187,92919,100713,106770,105143,117494,118762,103666,95431,78222,66848,52491,42097,41759,25038,17997,9805,6171,2454,1247,515,274
97,4119,185308,199491,213188,213416,243304,242248,211004,189213,155963,127029,94277,69127,59849,34456,23175,12582,8166,3487,1962,1039,555,2296,100046,109428,117472,120442,133568,129198,113160,101889,84826,70319,52045,37545,30625,17950,11733,6267,3805,1712,911,529,280,1823,85262,90063,95716,92974,109736,113050,97844,87324,71137,56710,42232,31582,29224,16506,11442,6315,4361,1775,1051,510,275
98,3241,226341,254940,272319,271732,288038,274631,238401,221103,179236,146345,106710,77903,67775,39656,28215,16024,10581,4841,2269,901,727,1772,119370,136631,147395,150015,156225,144956,126492,118390,97859,81043,59350,41863,34817,20357,13822,7883,4935,2385,1079,437,352,1469,106971,118309,124924,121717,131813,129675,111909,102713,81377,65302,47360,36040,32958,19299,14393,8141,5646,2456,1190,464,375
99,15584,175922,198790,216564,208095,197601,170917,148955,133812,118957,100487,76887,54161,52122,37873,28919,14650,10691,4045,2393,1001,742,8217,94561,107513,117199,113978,105612,91594,78059,69347,61766,52324,41701,27238,25792,18277,14390,7197,4887,1849,1071,452,316,7367,81361,91277,99365,94117,91989,79323,70896,64465,57191,48163,35186,26923,26330,19596,14529,7453,5804,2196,1322,549,426
100,21173,161289,182055,203998,189917,174008,146777,131818,122570,108870,89856,67073,46790,44634,30488,24452,13035,9269,3286,1980,828,526,10843,85285,97991,108722,103691,94057,77259,66929,62042,56189,46364,36497,23262,22379,14371,11787,6130,4297,1569,896,398,226,10330,76004,84064,95276,86226,79951,69518,64889,60528,52681,43492,30576,23528,22255,16117,12665,6905,4972,1717,1084,430,300
101,14634,273676,303184,305004,243460,225375,193168,161461,140184,116517,99109,80566,58503,52960,34981,28424,14942,10573,3789,2045,805,577,7641,143483,158477,160609,133073,120384,101466,84014,72660,61396,51038,43921,29722,27198,17084,13875,6978,4789,1685,744,292,272,6993,130193,144707,144395,110387,104991,91702,77447,67524,55121,48071,36645,28781,25762,17897,14549,7964,5784,2104,1301,513,305
102,15453,218061,241995,260114,219978,195969,157076,139037,124209,106925,88554,72236,52046,49932,36351,29174,15051,10079,3633,2126,1000,548,7837,114314,127481,136614,120142,104564,80067,68443,61489,54355,44225,38423,25483,24397,16882,13230,6651,3981,1458,767,403,240,7616,103747,114514,123500,99836,91405,77009,70594,62720,52570,44329,33813,26563,25535,19469,15944,8400,6098,2175,1359,597,308
103,14015,196376,223736,255050,246559,213012,164047,142492,132107,118456,101069,86268,64694,60679,42548,36086,17953,13091,4655,2632,952,568,6995,106720,121526,136876,134248,112035,81439,68383,62659,57419,48604,44919,31256,29892,20003,16407,7918,5303,1852,881,330,231,7020,89656,102210,118174,112311,100977,82608,74109,69448,61037,52465,41349,33438,30787,22545,19679,10035,7788,2803,1751,622,337
104,1321,406822,434669,454991,402634,354971,292634,253623,229906,194280,158191,125347,94372,91285,64563,53551,26717,20017,7112,4414,1790,969,811,218023,233456,244032,218083,189076,154320,129330,118978,101300,82222,67483,47213,46222,30966,27450,12982,10032,3651,2091,855,450,510,188799,201213,210959,184551,165895,138314,124293,110928,92980,75969,57864,47159,45063,33597,26101,13735,9985,3461,2323,935,519
105,13458,300570,319094,329522,283999,239516,186814,162300,150786,128273,105003,84531,65482,62071,44262,35179,16864,11999,4120,2653,952,1014,7114,160597,170713,178213,156802,130353,99660,83223,78235,67685,54581,45531,33065,31373,21594,18053,8289,6186,2129,1353,487,490,6344,139973,148381,151309,127197,109163,87154,79077,72551,60588,50422,39000,32417,30698,22668,17126,8575,5813,1991,1300,465,524
106,1084,148288,162710,169080,139125,109563,86885,76360,68878,57250,45928,37156,28198,26532,19041,15398,6589,4979,1628,1067,410,367,629,79640,88359,93311,79645,61297,46849,39529,36502,30783,24050,20255,14317,13632,9234,8072,3271,2523,841,536,197,175,455,68648,74351,75769,59480,48266,40036,36831,32376,26467,21878,16901,13881,12900,9807,7326,3318,2456,787,531,213,192
107,8345,165031,181836,192468,162331,136903,108604,92964,86546,72286,58892,46777,36115,36797,28565,22535,9698,6676,2260,1478,655,486,4368,88961,98411,105034,92328,76349,58998,47846,44959,38131,30693,25344,18068,18493,13533,11583,4786,3313,1178,702,313,248,3977,76070,83425,87434,70003,60554,49606,45118,41587,34155,28199,21433,18047,18304,15032,10952,4912,3363,1082,776,342,238
108,1383,137034,157055,167357,147142,128967,104142,90989,84185,73339,60724,47449,36658,34828,24296,21494,8660,5960,1841,1090,546,412,743,73098,83843,89029,79267,69830,55724,46187,43695,38394,31883,25793,18321,17843,10950,10738,4117,2774,879,460,252,211,640,63936,73212,78328,67875,59137,48418,44802,40490,34945,28841,21656,18337,16985,13346,10756,4543,3186,962,630,294,201
109,18438,176077,198959,212022,185752,152129,122197,107345,100082,83767,67524,52885,41620,40874,29043,23383,9909,7215,2344,1451,817,576,9570,94477,105921,112239,99065,81011,64470,54016,51394,43582,35301,28487,20490,21048,13657,12107,4776,3646,1179,681,382,288,8868,81600,93038,99783,86687,71118,57727,53329,48688,40185,32223,24398,21130,19826,15386,11276,5133,3569,1165,770,435,288
110,4493,637171,715397,770941,733235,662055,572349,499282,455078,380633,311487,244796,184131,161088,111247,87381,43006,29737,11318,6550,2800,2003,2443,341491,383362,409156,391962,347476,294603,253751,234208,199660,163105,131215,93529,82061,53943,42565,20459,13506,5226,2692,1169,925,2050,295680,332035,361785,341273,314579,277746,245531,220870,180973,148382,113581,90602,79027,57304,44816,22547,16231,6092,3858,1631,1078
111,18292,260210,292583,327776,315383,270760,206101,177605,163875,144192,119330,99471,74562,70005,49584,42156,20435,14937,5197,2925,1123,831,9134,140808,157608,174000,169199,141689,104531,86246,79469,71312,58845,51841,36141,34400,22666,19027,8673,5703,2024,971,379,324,9158,119402,134975,153776,146184,129071,101570,91359,84406,72880,60485,47630,38421,35605,26918,23129,11762,9234,3173,1954,744,507
112,1808,345156,393119,419958,364564,311311,254215,222768,204651,179227,147497,120696,89170,85028,59410,52238,25287,19375,6717,3421,1279,848,1069,181425,207333,219160,192374,163089,129837,110590,102763,91569,74302,64097,43305,42186,26948,23677,10808,7368,2600,1111,398,316,739,163731,185786,200798,172190,148222,124378,112178,101888,87658,73195,56599,45865,42842,32462,28561,14479,12007,4117,2310,881,532
113,1777,415415,460286,466464,379604,339183,298834,259119,226128,188524,162551,132342,98873,89632,59653,51163,24684,19582,6992,3715,1359,1285,1039,219450,242593,244710,206422,180125,154349,133456,116926,98456,83552,70781,49392,45819,28243,24369,10940,8116,2841,1302,492,555,738,195965,217693,221754,173182,159058,144485,125663,109202,90068,78999,61561,49481,43813,31410,26794,13744,11466,4151,2413,867,730
114,679,89126,96022,89157,62874,58687,53103,45094,36641,31356,27203,22318,15880,14518,9790,8436,3970,3132,1024,577,168,164,383,47540,51403,48574,36731,32020,28691,24211,19646,17033,14515,12314,8134,7603,4780,4148,1778,1402,436,215,75,76,296,41586,44619,40583,26143,26667,24412,20883,16995,14323,12688,10004,7746,6915,5010,4288,2192,1730,588,362,93,88
115,18524,344756,367045,356104,253285,220757,189175,164808,140790,117011,105020,87400,64276,60024,41485,36270,16007,13149,4042,2411,834,578,9517,180383,193608,187659,141256,121144,99248,85773,73764,61001,53352,47517,31950,30798,19696,17277,6927,5217,1546,826,331,232,9007,164373,173437,168445,112029,99613,89927,79035,67026,56010,51668,39883,32326,29226,21789,18993,9080,7932,2496,1585,503,346
116,12257,216333,238566,251587,189024,153320,127666,115532,105226,90468,79372,64747,49405,47715,32552,27383,11895,9694,2806,1946,752,484,6068,114054,125657,131592,98054,79244,64469,57065,53086,46318,39785,34645,23453,24215,14803,13011,4960,3879,1058,725,294,199,6189,102279,112909,119995,90970,74076,63197,58467,52140,44150,39587,30102,25952,23500,17749,14372,6935,5815,1748,1221,458,285
117,404,118660,128570,129642,108422,88960,75036,68765,66805,58140,50691,39581,29943,26895,18281,13823,6201,4543,1490,844,422,228,197,62133,68697,69430,56545,46041,38350,34460,33597,29779,25840,21044,14507,13263,8291,6489,2577,1816,602,331,148,94,207,56527,59873,60212,51877,42919,36686,34305,33208,28361,24851,18537,15436,13632,9990,7334,3624,2727,888,513,274,134
118,18770,202137,230563,256878,215460,168425,134520,125591,123337,114175,104333,86934,69375,63721,45305,37722,17082,13867,4656,2772,1150,800,8925,105939,121686,134282,106929,84822,66996,61300,60383,56761,52221,45443,33707,31517,20726,17770,7049,5463,1870,969,368,296,9845,96198,108877,122596,108531,83603,67524,64291,62954,57414,52112,41491,35668,32204,24579,19952,10033,8404,2786,1803,782,504
119,3984,261925,284300,293108,266355,245003,210386,181844,168431,148283,131393,109723,83672,71072,47062,36698,17765,12728,4804,2609,1065,842,2178,137845,148959,153529,139030,126630,109194,92262,85652,75385,66201,57252,41360,34731,21538,16170,7649,4984,1952,881,367,336,1806,124080,135341,139579,127325,118373,101192,89582,82779,72898,65192,52471,42312,36341,25524,20528,10116,7744,2852,1728,698,506
120,1533,138389,158170,174162,160156,139158,110159,97246,90243,80067,66450,54299,42680,37987,27543,22261,9432,6815,2203,1311,617,445,758,73036,83246,90839,81588,71106,57215,49202,45851,41142,34195,28752,20996,18765,12320,10434,4016,2745,983,516,239,192,775,65353,74924,83323,78568,68052,52944,48044,44392,38925,32255,25547,21684,19222,15223,11827,5416,4070,1220,795,378,253
121,529,110041,121549,132786,123916,109567,88912,77340,72273,63941,54094,42920,32741,28918,20991,16151,6773,4610,1416,830,337,271,304,57802,64397,70489,65337,57570,46627,39197,36794,33136,27962,23088,16376,14345,9542,7896,2990,2045,625,348,165,125,225,52239,57152,62297,58579,51997,42285,38143,35479,30805,26132,19832,16365,14573,11449,8255,3783,2565,791,482,172,146
