district_id,hindu,muslim,christian,sikh,buddhist,jain,other,none
541,2595321,158887,33463,655,217,459,539,7829
542,2666950,9025,18879,193,77,160,106,7724
543,2299129,16423,17853,380,114,815,183,9577
544,4105320,86330,77607,2301,850,2316,286,15579
545,4983330,77777,77825,738,413,4149,403,9661
546,3733191,86142,109120,288,209,1578,211,6227
547,4023678,307043,145598,1393,863,6320,906,31597
548,4217597,559770,89763,764,323,3282,332,15982
549,3150195,220654,18775,266,97,204,206,7051
550,2639737,288378,26202,678,239,2610,146,5567
551,2391231,454108,23281,367,105,751,245,12381
552,3328380,670737,33165,737,255,2235,434,17520
553,3599372,443456,20463,932,341,1417,309,14858
554,3737588,397870,24129,867,253,1322,358,11677
1,37128,823286,1700,5600,66,39,13,2522
2,10110,736054,1489,5559,47,6,2,478
3,22882,19057,658,1092,88635,103,54,1006
4,10341,108239,604,1171,20126,28,4,289
5,32604,431279,958,11188,83,10,2,711
6,221880,402879,983,15513,189,26,3,942
7,540063,64234,1828,9551,24,16,2,717
8,30621,959185,1497,14770,140,29,7,1790
9,8439,382006,572,555,44,17,2,597
10,42540,1177342,2746,12187,285,74,2,1653
11,5592,290581,406,486,25,8,4,344
12,13840,535159,1109,9440,35,6,18,833
13,3116,262263,429,178,6,1,6,216
14,13180,1057005,1449,6140,55,7,7,849
15,4267,418076,460,1035,27,25,9,584
16,187621,220614,472,422,21,22,42,722
17,81026,200516,414,753,43,3,252,706
18,93931,133225,277,450,2094,3,514,202
19,489044,59771,1962,3418,106,57,235,392
20,153898,156275,1208,3107,15,7,3,154
21,1289240,107489,12104,114272,470,1987,321,4075
22,275311,22950,2306,17961,48,16,6,300
289,1512801,152791,53622,499,2128,362,430,3106
290,736015,49258,39258,245,49420,106,808,891
291,307120,8256,22940,175,39120,85,206,328
292,507967,105737,44062,151,34717,307,70,936
281,2989,1782,69104,13,12328,25,19,104
282,4000,4426,75210,16,108,2,46,147
283,13249,5264,379134,105,1570,76,505,406
284,1075,699,123446,9,151,45,194,126
285,991,335,63444,6,60,9,35,57
286,5231,1290,127124,74,27543,93,5,68
287,1668,522,63892,52,51549,122,2,87
288,933,514,54977,11,102,4,2,31
634,53537,1191,873,3,1,4,4,13
635,855294,32674,58328,245,366,1328,147,1907
636,27940,12856,958,3,21,14,3,21
637,152638,28835,18391,46,63,54,14,181
496,322857,12922,5113,217,634,1186,293,487
418,638702,41396,230,6387,201,379,40,526
419,1875495,76159,1092,557,3234,6681,92,2660
420,1595400,66776,973,4047,12215,19950,73,3571
421,1835299,141735,4119,24790,4361,18058,217,3457
422,747693,28483,683,490,7923,453,10,1019
423,1648749,51200,1117,7151,3421,12171,72,2169
424,1383475,44143,588,251,109,15569,39,992
425,1676918,70351,1980,968,250,10409,102,1397
426,974748,35214,418,186,37,4734,218,965
427,2198297,103480,5580,4146,991,62992,168,2804
428,1186420,47966,1681,1096,119,25005,82,1850
429,2158623,59471,2228,1163,364,3135,1689,2262
430,2268838,85414,1964,832,986,655,232,6185
431,620515,15966,667,190,70,220,6028,1102
432,741288,67324,1508,1110,224,14165,115,333
433,1192588,125548,1120,849,242,19029,77,958
434,1267043,151071,3996,1353,175,29353,123,1955
435,1718204,233133,4659,3241,945,24622,211,1849
436,1321003,174724,815,631,179,13755,66,1508
437,1376591,174259,2355,2330,382,6497,72,1229
438,2051219,116202,2261,1607,328,12199,88,1889
439,2728225,415142,18523,25696,11496,71667,720,5228
440,1725441,135085,2075,2896,284,6028,89,1148
441,1318869,58222,2967,2361,416,2289,263,494
442,1433879,106928,1243,460,121,1599,50,1534
443,1287391,149548,1313,914,295,18490,70,854
444,1755861,525434,23432,10789,21688,25950,335,7572
445,1163607,137980,1404,640,357,6232,66,1046
446,1195235,120331,1725,2262,253,10637,190,964
447,1505745,37590,3271,1078,9651,3759,13048,1220
448,527462,38640,683,676,93,1573,55,1283
449,1175203,52269,4453,3127,1550,3888,107,753
450,1240650,37232,3158,1167,157,5342,2643,1693
451,2159065,203652,23142,13256,4320,33728,21010,5116
452,1038628,39048,914,997,262,8125,2873,1007
453,605435,6736,4238,260,61,687,84006,3101
454,849518,16558,12450,436,297,1789,170533,3324
455,1923920,100692,4893,2258,24471,7830,25771,1087
456,1145052,79739,1857,360,7288,4982,135315,4538
457,1519384,38542,5295,1050,72162,4778,58064,2423
458,1172248,49203,1208,3271,529,13474,52,1534
