district_id,population,males,females,literates,literate_males,literate_females,working,working_males,working_females,non_working,non_working_males,non_working_females
164,4581268,2459806,2121462,3243022,1829179,1413843,1572232,1299871,272361,3009036,1159935,1849101
165,1689974,906092,783882,1075196,653430,421766,620764,470969,149795,1069210,435123,634087
166,1998603,1057436,941167,1304513,783705,520808,814914,565357,249557,1183689,492079,691610
167,1221592,641011,580581,641191,397586,243605,503351,326783,176568,718241,314228,404013
168,1104285,593537,510748,653299,408125,245174,443655,308527,135128,660630,285010,375620
169,875958,466358,409600,488106,302283,185823,349676,237153,112523,526282,229205,297077
170,1799410,965876,833534,1002937,630626,372311,701689,485314,216375,1097721,480562,617159
171,991730,527721,464009,531072,330339,200733,394197,254977,139220,597533,272744,324789
172,2632733,1384722,1248011,1512166,911003,601163,1063929,713736,350193,1568804,670986,897818
173,3209141,1606085,1603056,1931559,1121381,810178,1066601,704569,362032,2142540,901516,1241024
174,1599596,838485,761111,813424,507279,306145,639086,402644,236442,960510,435841,524669
175,5954391,3131807,2822584,3665727,2199340,1466387,2111907,1426110,685797,3842484,1705697,2136787
176,3260699,1707073,1553626,1692458,1010518,681940,1192850,871241,321609,2067849,835832,1232017
177,2470996,1259628,1211368,1450901,838339,612562,831209,597888,233321,1639787,661740,978047
178,2397888,1212410,1185478,1486939,846676,640263,787398,547406,239992,1610490,665004,945486
179,3797117,1914586,1882531,2239902,1300248,939654,1242632,869838,372794,2554485,1044748,1509737
180,3487731,1843884,1643847,1398368,878285,520083,1152160,895576,256584,2335571,948308,1387263
181,1117361,593897,523464,423313,276700,146613,403755,293981,109774,713606,299916,413690
182,2148665,1114721,1033944,868357,544943,323414,760253,534332,225921,1388412,580389,808023
183,3433919,1787146,1646773,1679994,1034181,645813,1170552,855848,314704,2263367,931298,1332069
184,2559297,1295095,1264202,1228926,740718,488208,878898,583633,295265,1680399,711462,968937
185,2464464,1255272,1209192,1393783,819719,574064,783688,558642,225046,1680776,696630,984146
186,1715183,869656,845527,954949,567098,387851,539469,383482,155987,1175714,486174,689540
187,2684703,1381754,1302949,1419144,881674,537470,994253,659465,334788,1690450,722289,968161
188,4440895,2277777,2163118,2700328,1593890,1106438,1351629,1016876,334753,3089266,1260901,1828365
189,3564544,1818055,1746489,1954820,1183722,771098,1116973,804857,312116,2447571,1013198,1434373
190,3100946,1537436,1563510,1875239,1079288,795951,876246,639073,237173,2224700,898363,1326337
191,4613913,2285004,2328909,2771917,1559414,1212503,1372032,941890,430142,3241881,1343114,1898767
192,2205968,1114709,1091259,1363044,773082,589962,696747,475413,221334,1509221,639296,869925
193,3239774,1672902,1566872,1963590,1160960,802630,1019483,723060,296423,2220291,949842,1270449
194,4494204,2220465,2273739,2731677,1565394,1166283,1437375,934157,503218,3056829,1286308,1770521
195,3620268,1855075,1765193,2197549,1293553,903996,1204602,808700,395902,2415666,1046375,1369291
196,1952756,1017905,934851,1174606,699454,475152,652543,462971,189572,1300213,554934,745279
197,3676841,1921857,1754984,2403903,1389116,1014787,1220708,921234,299474,2456133,1000623,1455510
198,1578213,807099,771114,910146,546782,363364,470608,343155,127453,1107605,463944,643661
199,2496970,1312302,1184668,1428683,865837,562846,881996,613061,268935,1614974,699241,915733
200,1862559,971344,891215,985708,601988,383720,730399,463611,266788,1132160,507733,624427
201,1774480,947339,827141,1055202,647042,408160,545984,440244,105740,1228496,507095,721401
202,1436719,764165,672554,724850,452803,272047,472765,375213,97552,963954,388952,575002
203,3935042,2061110,1873932,1759481,1091226,668255,1478947,999282,479665,2456095,1061828,1394267
204,5099371,2681209,2418162,2276957,1407603,869354,1737539,1260774,476765,3361832,1420435,1941397
205,656246,346673,309573,283698,171645,112053,216372,166693,49679,439874,179980,259894
206,3423574,1803252,1620322,1436794,885188,551606,1114583,865929,248654,2308991,937323,1371668
207,4487379,2329313,2158066,2155338,1340085,815253,1636938,1105947,530991,2850441,1223366,1627075
208,2229076,1155283,1073793,1033283,647672,385611,877682,551718,325964,1351394,603565,747829
209,2811569,1463333,1348236,1195768,727643,468125,1069893,708391,361502,1741676,754942,986734
210,1690400,866970,823430,745056,439921,305135,529064,421192,107872,1161336,445778,715558
